year,age,corpus_start,household_expense,school_fees,graduation_fees,marriage_expense
2025,42,12500000.0,540000.0,0.0,0.0,0.0
2026,43,13460000.000000002,577800.0,0.0,0.0,0.0
2027,44,14228200.000000004,618246.0,0.0,0.0,0.0
2028,45,15032774.000000006,661523.2200000001,0.0,0.0,0.0
2029,46,15874528.180000007,707829.8454000001,0.0,0.0,0.0
2030,47,16754151.15260001,757377.9345780002,0.0,0.0,0.0
2031,48,17672188.333282012,810394.3899984603,0.0,0.0,0.0
2032,49,18629012.776611753,867121.9972983525,0.0,0.0,0.0
2033,50,19624792.05697458,927820.5371092373,0.0,0.0,0.0
2034,51,20659450.7255628,992767.974706884,0.0,0.0,0.0
2035,52,21732627.8234122,1062261.732936366,0.0,0.0,0.0
2036,53,22843628.872817054,1136620.0542419117,0.0,0.0,0.0
2037,54,23991371.705856852,1216183.4580388453,0.0,0.0,0.0
2038,55,25174325.418403696,1301316.3001015647,0.0,0.0,0.0
2039,56,26390441.660142504,1392408.4411086743,0.0,0.0,0.0
2040,57,27637077.385048084,1489877.0319862815,0.0,0.0,0.0
2041,58,28910908.091566615,1594168.4242253215,0.0,0.0,0.0
2042,59,30207830.476497956,1705760.2139210938,0.0,0.0,0.0
2043,60,31522853.31022666,1825163.4288955706,0.0,0.0,0.0
2044,61,32849975.21235376,1952924.8689182608,0.0,0.0,0.0
2045,62,34182047.86467087,2089629.609742539,0.0,0.0,0.0
2046,63,35510623.041395426,2235903.682424517,0.0,0.0,0.0
2047,64,36825781.66311046,2392416.9401942333,0.0,0.0,0.0
2048,65,38115942.88922727,2559886.12600783,0.0,0.0,0.0
2049,66,39367651.052142166,2739078.154828378,0.0,0.0,0.0
2050,67,40565338.00252801,2930813.6256663646,0.0,0.0,0.0
2051,68,41691058.17711445,3135970.5794630107,0.0,0.0,0.0
2052,69,42724193.41536289,3355488.5200254214,0.0,0.0,0.0
2053,70,43641124.23687375,3590372.716427201,0.0,0.0,0.0
2054,71,44414863.94413393,3841698.8065771055,0.0,0.0,0.0
2055,72,45014651.53197022,4110617.7230375027,0.0,0.0,0.0
2056,73,45405498.96212974,4398360.963650129,0.0,0.0,0.0
2057,74,45547687.89469259,4706246.231105638,0.0,0.0,0.0
2058,75,45396210.453056216,5035683.467283033,0.0,0.0,0.0
2059,76,44900148.03107881,5388181.309992845,0.0,0.0,0.0
2060,77,44001981.52419385,5765354.001692344,0.0,0.0,0.0
2061,78,42636825.674920894,6168928.78181081,0.0,0.0,0.0
2062,79,40731579.46060217,6600753.796537566,0.0,0.0,0.0
2063,80,38203983.61012483,7062806.562295197,0.0,0.0,0.0
